Observer;Tone complexity;Session;Practice or main experiment;Chord consonance;Chord shape index;Starting pitch;Probe correctness;Probe consonance;Probe index;Response yes/no;Response accuracy;Response time;Probe amplitude correction
JS;0;1;1;1;2;2;0;1;1;1;0;0.63624;NaN
JS;0;1;1;1;5;5;0;0;1;0;1;0.50138;NaN
JS;0;1;1;0;10;1;1;NaN;1;0;0;0.58115;NaN
JS;0;1;1;1;1;4;1;NaN;5;1;1;0.58115;NaN
JS;0;1;1;1;1;1;1;NaN;3;1;1;0.57365;NaN
JS;0;1;1;0;7;1;0;NaN;3;1;0;0.6026;NaN
JS;0;1;1;1;2;4;1;NaN;1;0;0;0.62264;NaN
JS;0;1;1;1;5;4;1;NaN;4;1;1;0.62829;NaN
JS;0;1;1;0;7;5;1;NaN;1;0;0;0.58885;NaN
JS;0;1;1;0;8;2;1;NaN;4;0;0;0.62837;NaN
JS;0;1;1;0;9;5;0;NaN;1;0;1;0.63701;NaN
JS;0;1;1;0;10;2;0;NaN;1;0;1;0.66206;NaN
JS;0;1;1;0;9;3;0;NaN;2;0;1;0.62022;NaN
JS;0;1;1;0;6;4;1;NaN;4;1;1;0.74846;NaN
JS;0;1;1;0;7;2;1;NaN;1;0;0;0.62115;NaN
JS;0;1;1;1;5;1;0;0;3;0;1;0.64525;NaN
JS;0;1;1;0;9;2;0;NaN;2;1;0;0.63623;NaN
JS;0;1;1;0;9;1;0;NaN;3;0;1;0.59806;NaN
JS;0;1;1;1;4;1;0;0;1;0;1;0.58872;NaN
JS;0;1;1;0;7;2;0;NaN;2;0;1;0.68509;NaN
JS;0;1;1;0;8;2;0;NaN;1;0;1;0.59623;NaN
JS;0;1;1;1;1;3;1;NaN;3;1;1;0.61332;NaN
JS;0;1;1;0;7;5;1;NaN;2;0;0;0.5895;NaN
JS;0;1;1;0;10;1;1;NaN;2;1;1;0.59798;NaN
JS;0;1;1;1;4;2;0;0;3;0;1;0.59381;NaN
JS;0;1;1;0;9;4;0;NaN;3;0;1;0.57342;NaN
JS;0;1;1;0;7;4;1;NaN;5;1;1;0.58627;NaN
JS;0;1;1;0;6;5;0;NaN;3;0;1;0.59748;NaN
JS;0;1;1;0;7;2;0;NaN;2;0;1;0.5775;NaN
JS;0;1;1;0;6;4;1;NaN;1;0;0;0.61444;NaN
JS;0;1;1;0;9;2;0;NaN;3;1;0;0.5955;NaN
JS;0;1;1;0;6;4;1;NaN;3;0;0;0.59657;NaN
JS;0;1;1;1;2;1;0;1;1;0;1;0.59759;NaN
JS;0;1;1;0;10;3;1;NaN;3;0;0;0.61215;NaN
JS;0;1;1;0;6;4;1;NaN;5;1;1;0.57177;NaN
JS;0;1;1;0;9;1;0;NaN;1;0;1;0.58969;NaN
JS;0;1;1;0;7;4;1;NaN;1;1;1;0.65417;NaN
JS;0;1;1;1;4;3;1;NaN;5;1;1;0.63782;NaN
JS;0;1;1;1;3;1;0;0;1;0;1;0.60999;NaN
JS;0;1;1;0;9;1;1;NaN;1;0;0;0.57448;NaN
JS;0;1;1;0;8;3;0;NaN;1;0;1;0.61397;NaN
JS;0;1;1;1;3;3;0;1;2;1;0;0.57355;NaN
JS;0;1;1;1;1;1;1;NaN;1;0;0;573;NaN
JS;0;1;1;0;9;4;0;NaN;2;0;1;0.58897;NaN
JS;0;1;1;0;7;2;0;NaN;1;1;0;0.57356;NaN
JS;0;1;1;1;3;5;0;1;3;1;0;0.58904;NaN
JS;0;1;1;1;1;3;0;0;3;0;1;595;NaN
JS;0;1;1;1;3;5;1;NaN;3;1;1;0.59056;NaN
JS;0;1;1;0;10;5;0;NaN;1;0;1;0.58602;NaN
JS;0;1;1;0;10;3;0;NaN;3;0;1;0.62175;NaN
JS;0;1;1;0;7;1;0;NaN;1;0;1;0.60585;NaN
JS;0;1;1;1;1;3;0;1;1;0;1;0.56235;NaN
JS;0;1;1;0;6;4;0;NaN;3;1;0;0.55047;NaN
JS;0;1;1;1;1;4;1;NaN;4;1;1;0.56428;NaN
JS;0;1;1;0;10;2;0;NaN;1;0;1;0.61921;NaN
JS;0;1;1;1;2;4;1;NaN;4;1;1;0.59005;NaN
JS;0;1;1;1;2;1;1;NaN;5;1;1;0.59092;NaN
JS;0;1;1;1;4;5;0;0;1;0;1;0.6025;NaN
JS;0;1;1;0;6;2;0;NaN;3;1;0;0.60125;NaN
JS;0;1;1;1;2;1;1;NaN;1;1;1;0.60546;NaN
JS;0;1;1;1;5;3;0;0;2;0;1;0.58051;NaN
JS;0;1;1;0;7;1;1;NaN;5;1;1;0.61301;NaN
JS;0;1;1;0;6;4;1;NaN;5;0;0;0.60206;NaN
JS;0;1;1;1;1;4;0;1;3;1;0;0.59563;NaN
JS;0;1;1;1;3;4;0;1;2;0;1;0.62067;NaN
JS;0;1;1;1;5;2;0;0;3;1;0;0.70072;NaN
JS;0;1;1;1;3;2;1;NaN;1;0;0;0.64559;NaN
JS;0;1;1;1;3;3;0;0;1;1;0;0.63412;NaN
JS;0;1;1;0;9;1;1;NaN;3;0;0;0.63771;NaN
JS;0;1;1;1;4;5;1;NaN;2;0;0;0.58587;NaN
JS;0;1;1;1;1;3;0;0;1;0;1;0.62619;NaN
JS;0;1;1;1;3;4;0;0;2;0;1;0.74147;NaN
JS;0;1;1;1;1;5;1;NaN;5;1;1;0.65929;NaN
JS;0;1;1;1;3;3;1;NaN;2;0;0;0.59793;NaN
JS;0;1;1;1;5;3;0;0;1;0;1;0.54046;NaN
JS;0;1;1;0;7;2;0;NaN;1;1;0;0.63372;NaN
JS;0;1;1;1;1;5;1;NaN;4;1;1;0.60544;NaN
JS;0;1;1;0;9;3;0;NaN;1;0;1;0.56199;NaN
JS;0;1;1;0;9;2;0;NaN;3;0;1;0.61401;NaN
JS;0;1;1;1;1;3;1;NaN;2;0;0;0.62167;NaN
JS;0;1;1;0;7;5;1;NaN;3;0;0;0.58161;NaN
JS;0;1;1;0;8;1;0;NaN;3;0;1;0.6216;NaN
JS;0;1;1;0;6;4;1;NaN;1;0;0;0.57922;NaN
JS;0;1;1;0;7;1;0;NaN;1;0;1;0.6377;NaN
JS;0;1;1;0;10;3;0;NaN;1;0;1;0.61231;NaN
JS;0;1;1;0;10;2;1;NaN;1;0;0;0.61435;NaN
JS;0;1;1;0;8;1;1;NaN;2;0;0;0.62207;NaN
JS;0;1;1;0;10;2;0;NaN;2;0;1;0.59062;NaN
JS;0;1;1;0;6;2;1;NaN;2;0;0;0.62852;NaN
JS;0;1;1;0;10;5;0;NaN;3;1;0;0.63361;NaN
JS;0;1;1;1;4;5;1;NaN;3;1;1;0.59723;NaN
JS;0;1;1;0;10;4;0;NaN;2;0;1;0.59573;NaN
JS;0;1;1;0;8;1;1;NaN;1;0;0;0.61279;NaN
JS;0;1;1;0;10;3;0;NaN;2;0;1;0.64431;NaN
JS;0;1;1;0;6;5;0;NaN;2;1;0;0.80585;NaN
JS;0;1;1;1;2;5;1;NaN;2;1;1;0.66143;NaN
JS;0;1;1;1;2;3;0;1;1;1;0;0.65356;NaN
JS;0;1;1;0;10;2;0;NaN;2;0;1;0.59719;NaN
JS;0;1;1;0;9;1;1;NaN;4;1;1;0.66222;NaN
JS;0;1;1;1;1;3;0;1;3;1;0;0.60629;NaN
JS;0;1;1;0;10;4;1;NaN;3;0;0;0.60546;NaN
JS;0;1;1;1;2;3;0;0;2;0;1;0.62851;NaN
JS;0;1;1;1;2;1;1;NaN;1;0;0;0.54663;NaN
JS;0;1;1;1;3;5;1;NaN;4;1;1;0.57352;NaN
JS;0;1;1;0;9;5;1;NaN;5;1;1;0.59703;NaN
JS;0;1;1;1;5;2;0;1;2;1;0;0.59552;NaN
JS;0;1;1;0;8;2;1;NaN;5;1;1;0.51645;NaN
JS;0;1;1;0;8;4;1;NaN;5;1;1;0.60544;NaN
JS;0;1;1;1;5;1;0;1;1;1;0;0.70044;NaN
JS;0;1;1;0;6;4;0;NaN;1;0;1;0.59669;NaN
JS;0;1;1;0;7;1;0;NaN;3;1;0;0.66975;NaN
